"subj","rt","resp","cond","r1","r2","t1","t2"
2,3624,0,0.5,10,17.872,0,24
2,2938,0,0.1,10,15.7068,0,31
2,2408,0,0.5,10,16.232,0,19
2,1758,1,0.5,10,21.808,0,36
2,2664,1,0.7,10,20.1084,0,26
2,2974,1,0.7,10,25.4481,0,41
2,2288,1,0.9,10,28.6347,0,41
2,1958,1,0.5,10,20.824,0,33
2,2524,1,0.1,10,15.4514,0,30
2,1972,1,0.5,10,23.776,0,42
2,2198,0,0.1,10,18.0059,0,40
2,2458,0,0.3,10,19.3477,0,34
2,2124,1,0.3,10,21.1479,0,40
2,2194,0,0.1,10,16.7286,0,35
2,2234,0,0.1,10,14.1742,0,25
2,2272,1,0.9,10,21.4247,0,23
2,2624,0,0.3,10,16.6475,0,25
2,1948,0,0.1,10,15.7068,0,31
2,2182,0,0.1,10,17.2395,0,37
2,1920,0,0.1,10,13.9187,0,24
2,2112,0,0.1,10,18.0059,0,40
2,2234,0,0.3,10,18.7477,0,32
2,3002,1,0.7,10,20.1084,0,26
2,2226,1,0.9,10,26.6319,0,36
2,2050,0,0.1,10,15.7068,0,31
2,2410,0,0.5,10,19.184,0,28
2,2258,0,0.3,10,19.9478,0,36
2,2146,0,0.1,10,16.4732,0,34
2,2232,1,0.3,10,20.8478,0,39
2,1828,1,0.7,10,26.516,0,44
2,2454,1,0.7,10,21.8883,0,31
2,1996,1,0.5,10,23.776,0,42
2,2082,1,0.9,10,20.2231,0,20
2,2142,1,0.5,10,24.76,0,45
2,2158,1,0.9,10,21.4247,0,23
2,2184,0,0.5,10,17.216,0,22
2,2736,1,0.3,10,21.7479,0,42
2,1870,1,0.7,10,24.0242,0,37
2,3262,1,0.1,10,12.6415,0,19
2,2652,0,0.5,10,14.92,0,15
2,2388,1,0.9,10,29.0353,0,42
2,3162,0,0.5,10,16.888,0,21
2,2860,0,0.1,10,13.9187,0,24
2,3068,1,0.5,10,21.48,0,35
2,2466,0,0.5,10,17.544,0,23
2,2352,1,0.7,10,21.1764,0,29
2,2514,0,0.7,10,16.9046,0,17
2,2186,1,0.5,10,24.76,0,45
2,3006,0,0.7,10,22.6003,0,33
2,2820,0,0.1,10,14.9405,0,28
2,2134,1,0.7,10,21.5324,0,30
2,2378,1,0.9,10,22.2258,0,25
2,2972,1,0.7,10,20.8204,0,28
2,2334,0,0.1,10,13.4078,0,22
2,2054,1,0.9,10,25.0297,0,32
2,2324,1,0.7,10,24.3802,0,38
2,1826,1,0.5,10,20.168,0,31
2,2244,0,0.1,10,16.4732,0,34
2,2192,0,0.5,10,16.888,0,21
2,2198,1,0.5,10,18.528,0,26
2,2052,1,0.5,10,22.792,0,39
2,2884,1,0.1,10,16.9841,0,36
2,2694,0,0.3,10,17.8476,0,29
2,3360,1,0.5,10,20.496,0,32
2,3234,1,0.3,10,20.8478,0,39
2,3264,0,0.9,10,18.6209,0,16
2,2226,1,0.5,10,20.824,0,33
2,3286,1,0.9,10,18.6209,0,16
2,2176,1,0.9,10,23.0269,0,27
2,2410,1,0.7,10,19.3965,0,24
2,2192,1,0.3,10,21.7479,0,42
2,2458,0,0.5,10,14.92,0,15
2,1992,1,0.9,10,27.433,0,38
2,1832,1,0.5,10,24.76,0,45
2,2378,1,0.1,10,19.2831,0,45
2,2248,1,0.9,10,27.8336,0,39
2,1550,1,0.5,10,19.184,0,28
2,2302,1,0.3,10,18.1476,0,30
2,2174,0,0.3,10,15.4475,0,21
2,2092,0,0.1,10,16.4732,0,34
2,1718,1,0.7,10,19.3965,0,24
2,1870,1,0.3,10,22.348,0,44
2,1866,1,0.5,10,22.136,0,37
2,1952,1,0.7,10,20.4644,0,27
2,2114,0,0.1,10,17.495,0,38
2,2166,0,0.3,10,16.0475,0,23
2,2224,0,0.5,10,19.184,0,28
2,1964,1,0.5,10,24.104,0,43
2,2120,1,0.9,10,26.6319,0,36
2,1870,0,0.1,10,13.1524,0,21
2,1762,1,0.5,10,23.448,0,41
2,2474,0,0.3,10,19.3477,0,34
2,1806,0,0.5,10,16.232,0,19
2,1562,1,0.7,10,18.3285,0,21
2,1768,1,0.5,10,20.824,0,33
2,1784,1,0.5,10,21.152,0,34
2,2106,0,0.3,10,16.9476,0,26
2,2374,1,0.3,10,18.7477,0,32
2,1716,1,0.5,10,19.184,0,28
2,3156,0,0.7,10,16.5487,0,16
2,2142,0,0.3,10,13.6473,0,15
2,1722,0,0.1,10,13.9187,0,24
2,2222,0,0.5,10,14.92,0,15
2,2134,0,0.3,10,16.9476,0,26
2,1690,1,0.7,10,23.6682,0,36
2,1916,0,0.5,10,15.576,0,17
2,1960,0,0.1,10,11.8751,0,16
2,2520,1,0.5,10,20.824,0,33
2,2222,1,0.7,10,22.6003,0,33
2,1976,1,0.9,10,18.2203,0,15
2,2444,1,0.9,10,18.2203,0,15
2,2228,0,0.1,10,12.8969,0,20
2,1952,1,0.9,10,25.4303,0,33
2,1650,0,0.5,10,15.248,0,16
2,2110,0,0.1,10,14.4296,0,26
2,2346,1,0.3,10,19.3477,0,34
2,1934,1,0.5,10,22.136,0,37
2,1960,1,0.9,10,26.6319,0,36
2,1684,1,0.3,10,17.8476,0,29
2,1726,1,0.7,10,20.8204,0,28
2,2732,1,0.5,10,18.2,0,25
2,2022,0,0.9,10,19.8225,0,19
2,2058,0,0.1,10,16.7286,0,35
2,1798,1,0.5,10,21.808,0,36
2,1958,1,0.5,10,22.136,0,37
2,1862,1,0.7,10,21.1764,0,29
2,1752,1,0.9,10,25.0297,0,32
3,2082,1,0.9,10,30.3048,0,44
3,2462,1,0.9,10,20.842,0,22
3,1922,0,0.7,10,23.6692,0,33
3,2274,1,0.5,10,21.34,0,30
3,1824,0,0.1,10,22.3074,0,42
3,1850,0,0.1,10,21.004,0,38
3,1850,0,0.9,10,23.8529,0,29
3,1666,1,0.7,10,16.5033,0,15
3,1850,0,0.1,10,21.6557,0,40
3,2156,0,0.7,10,21.6787,0,28
3,2214,1,0.7,10,24.0673,0,34
3,1564,0,0.1,10,21.3298,0,39
3,2512,0,0.5,10,26.254,0,43
3,2908,1,0.5,10,23.986,0,37
3,1468,1,0.7,10,18.4938,0,20
3,1580,0,0.7,10,21.2806,0,27
3,1700,0,0.1,10,22.6333,0,43
3,1990,0,0.5,10,26.254,0,43
3,2092,0,0.3,10,19.1314,0,27
3,1768,0,0.1,10,22.3074,0,42
3,1896,1,0.7,10,16.9014,0,16
3,2160,1,0.5,10,19.45,0,25
3,1892,1,0.9,10,28.5843,0,40
3,1394,1,0.7,10,16.5033,0,15
3,1646,1,0.5,10,17.182,0,19
3,1532,1,0.3,10,16.9841,0,21
3,1634,1,0.5,10,17.938,0,21
3,2166,1,0.1,10,19.3746,0,33
3,1728,1,0.9,10,21.2721,0,23
3,1578,1,0.7,10,18.8919,0,21
3,1338,1,0.9,10,17.831,0,15
3,1780,1,0.7,10,25.6597,0,38
3,1806,1,0.3,10,19.4893,0,28
3,1884,1,0.7,10,27.6502,0,43
3,1834,0,0.5,10,20.962,0,29
3,1586,0,0.5,10,20.206,0,27
3,2052,0,0.3,10,24.142,0,41
3,2086,0,0.5,10,21.718,0,31
3,2018,1,0.3,10,16.9841,0,21
3,1594,0,0.3,10,21.9946,0,35
3,1708,1,0.7,10,26.4559,0,40
3,1364,1,0.5,10,15.67,0,15
3,1448,1,0.9,10,26.8638,0,36
3,1898,0,0.1,10,17.0935,0,26
3,2138,0,0.5,10,25.12,0,40
3,1816,0,0.1,10,18.397,0,30
3,1924,1,0.5,10,23.608,0,36
3,1728,0,0.7,10,21.6787,0,28
